Scientific Name,Common Name,# of States 2005,States 2005,# of States 2015,States 2015,Taxonomic Group
Himantopus mexicanus,Ae'o,13,"Delaware,Georgia,Idaho,Kansas,Kentucky,Montana,Nebraska,Nevada,North Carolina,Oregon,Texas,Utah,Virgin Islands",7,"Delaware,Georgia,Kansas,Kentucky,Nebraska,Oregon,Wisconsin",Birds
Hiodon alosoides,goldeye,9,"Alabama,Arkansas,Iowa,Ohio,Pennsylvania,Texas,West Virginia,Wisconsin,Wyoming",7,"Alabama,Arkansas,Ohio,Texas,West Virginia,Wisconsin,Wyoming",Fish
Hybopsis dorsalis,bigmouth shiner,5,"Indiana,Michigan,Ohio,Pennsylvania,Wyoming",7,"Indiana,Michigan,New York,Ohio,Pennsylvania,Tennessee,Wyoming",Fish
Hypericum adpressum,creeping St. Johnswort,2,"Georgia,Missouri",7,"Connecticut,Georgia,Massachusetts,Missouri,South Carolina,Tennessee,West Virginia",Plants
Ichthyomyzon castaneus,chestnut lamprey,6,"Iowa,Kansas,Kentucky,Mississippi,Nebraska,North Dakota",7,"Illinois,Iowa,Kansas,Kentucky,Mississippi,Nebraska,North Dakota",Fish
Ischnura kellicotti,Lilypad Forktail,5,"Delaware,Ohio,Pennsylvania,Vermont,Wisconsin",7,"Delaware,District of Columbia,Ohio,Pennsylvania,Vermont,West Virginia,Wisconsin",Other Invertebrates
Lampropeltis getula,Common Kingsnake,11,"Alabama,Colorado,Delaware,Florida,Iowa,Nebraska,New Jersey,North Carolina,Oregon,Utah,West Virginia",7,"Alabama,Delaware,Florida,Maryland,New Jersey,North Carolina,West Virginia",Reptiles
Lampsilis higginsii,Higgins' eye,7,"Illinois,Iowa,Minnesota,Missouri,Nebraska,South Dakota,Wisconsin",7,"Illinois,Iowa,Minnesota,Missouri,Nebraska,South Dakota,Wisconsin",Mollusks
Lampsilis siliquoidea,fatmucket,6,"Arkansas,Kansas,Louisiana,Mississippi,Nebraska,Wyoming",7,"Iowa,Kansas,Louisiana,Mississippi,Nebraska,Tennessee,Wyoming",Mollusks
Lanthus vernalis,Southern Pygmy Clubtail,4,"Maine,Maryland,Rhode Island,West Virginia",7,"Delaware,Maine,Maryland,New Jersey,Ohio,Rhode Island,West Virginia",Other Invertebrates
Lasmigona complanata,white heelsplitter,10,"Georgia,Kansas,Louisiana,Mississippi,New York,Pennsylvania,Tennessee,Texas,West Virginia,Wyoming",7,"Iowa,Louisiana,Mississippi,Pennsylvania,Tennessee,West Virginia,Wyoming",Mollusks
Lasmigona costata,fluted-shell,8,"Alabama,Arkansas,Georgia,Illinois,Iowa,Kansas,Minnesota,Vermont",7,"Illinois,Iowa,Kansas,Michigan,Minnesota,Vermont,West Virginia",Mollusks
Leiothlypis ruficapilla,Nashville Warbler,3,"Maryland,Rhode Island,West Virginia",7,"Maryland,Massachusetts,New Jersey,North Carolina,Pennsylvania,Rhode Island,West Virginia",Birds
Leucophaeus pipixcan,Franklin's Gull,7,"Idaho,Minnesota,Montana,Nevada,North Dakota,Oregon,Wyoming",7,"Idaho,Iowa,Minnesota,North Dakota,Oregon,Texas,Wyoming",Birds
Loxia curvirostra,Red Crossbill,10,"Alaska,Colorado,Maine,Michigan,Nebraska,North Carolina,Pennsylvania,South Carolina,Virginia,Wisconsin",7,"Arizona,Maine,North Carolina,Pennsylvania,South Carolina,Virginia,West Virginia",Birds
Lycaena epixanthe,Bog Copper,6,"Connecticut,Maryland,Pennsylvania,Rhode Island,Vermont,West Virginia",7,"Connecticut,Maryland,New Jersey,Pennsylvania,Rhode Island,Vermont,West Virginia",Other Invertebrates
Lynx rufus,Bobcat,11,"Connecticut,Illinois,Indiana,Iowa,Maryland,Massachusetts,New Hampshire,New Jersey,Ohio,Rhode Island,Vermont",7,"Delaware,Maryland,Massachusetts,New Jersey,Ohio,Rhode Island,Vermont",Mammals
Macrhybopsis storeriana,silver chub,9,"Kansas,Michigan,Missouri,New York,North Dakota,Ohio,Pennsylvania,Texas,West Virginia",7,"Kansas,Michigan,Missouri,North Dakota,Ohio,Texas,West Virginia",Fish
Macromia alleghaniensis,Allegheny River Cruiser,4,"Maryland,Pennsylvania,Virginia,West Virginia",7,"Florida,Maryland,New Jersey,Ohio,Pennsylvania,Virginia,West Virginia",Other Invertebrates
Macromia taeniolata,Royal River Cruiser,6,"Delaware,Iowa,Maryland,Ohio,West Virginia,Wisconsin",7,"Delaware,Iowa,Maryland,Ohio,Pennsylvania,West Virginia,Wisconsin",Other Invertebrates
Margaritifera falcata,western pearlshell,7,"Alaska,California,Idaho,Montana,Utah,Washington,Wyoming",7,"Alaska,California,Idaho,Montana,Utah,Washington,Wyoming",Mollusks
Megaceryle alcyon,Belted Kingfisher,6,"Alaska,Arizona,Connecticut,Ohio,Rhode Island,Virgin Islands",7,"Alaska,Iowa,Maine,Minnesota,New Jersey,South Carolina,Virginia",Birds
Microtus pennsylvanicus,Meadow Vole,8,"Alaska,Florida,Maine,North Carolina,Ohio,Rhode Island,South Carolina,Washington",7,"Alaska,District of Columbia,Florida,Maine,Rhode Island,South Carolina,Washington",Mammals
Moxostoma anisurum,silver redhorse,3,"Arkansas,Mississippi,Vermont",7,"Arkansas,Iowa,Mississippi,Missouri,Ohio,Vermont,Virginia",Fish
Myotis thysanodes,fringed myotis,10,"California,Colorado,Idaho,Montana,Nebraska,Nevada,Oregon,Texas,Utah,Wyoming",7,"California,Colorado,Nevada,Oregon,Texas,Utah,Wyoming",Mammals
Myotis volans,long-legged myotis,6,"Alaska,California,Nebraska,North Dakota,Oregon,Wyoming",7,"Alaska,California,Nebraska,North Dakota,Oregon,Texas,Wyoming",Mammals
Negaprion brevirostris,lemon shark,3,"Florida,South Carolina,Texas",7,"Delaware,Florida,Louisiana,Puerto Rico,South Carolina,Texas,Virgin Islands",Fish
Neurocordulia yamaskanensis,Stygian Shadowdragon,7,"Iowa,Maryland,Massachusetts,Michigan,Vermont,Virginia,West Virginia",7,"Iowa,Maryland,Massachusetts,Ohio,Vermont,Virginia,West Virginia",Other Invertebrates
Notophthalmus viridescens,Eastern Newt,5,"Connecticut,District of Columbia,Iowa,Kansas,Rhode Island",7,"Connecticut,Delaware,District of Columbia,Illinois,Iowa,Kansas,Minnesota",Amphibians
Notropis amoenus,comely shiner,7,"Delaware,Maryland,New Jersey,New York,North Carolina,South Carolina,West Virginia",7,"Delaware,Maryland,New Jersey,New York,Pennsylvania,South Carolina,West Virginia",Fish
Notropis anogenus,pugnose shiner,9,"Illinois,Indiana,Iowa,Michigan,Minnesota,New York,North Dakota,Ohio,Wisconsin",7,"Illinois,Indiana,Iowa,Michigan,Minnesota,North Dakota,Wisconsin",Fish
Noturus stigmosus,northern madtom,8,"Illinois,Indiana,Kentucky,Michigan,Ohio,Pennsylvania,Tennessee,West Virginia",7,"Illinois,Indiana,Kentucky,Michigan,Ohio,Pennsylvania,West Virginia",Fish
Oarisma poweshiek,Poweshiek Skipperling,6,"Illinois,Iowa,Michigan,Minnesota,South Dakota,Wisconsin",7,"Illinois,Iowa,Michigan,Minnesota,North Dakota,South Dakota,Wisconsin",Other Invertebrates
Obovaria arkansasensis,Ouachita creekshell,7,"Arkansas,Louisiana,Mississippi,Missouri,Oklahoma,Tennessee,Texas",7,"Alabama,Louisiana,Mississippi,Missouri,Oklahoma,Tennessee,Texas",Mollusks
Ophiogomphus anomalus,Extra-striped Snaketail,6,"Michigan,Minnesota,New Jersey,New York,Pennsylvania,Wisconsin",7,"Maine,Michigan,Minnesota,New Jersey,New York,Pennsylvania,Wisconsin",Other Invertebrates
Oxyura jamaicensis,Ruddy Duck,6,"Maine,Maryland,New York,Ohio,Puerto Rico,Virgin Islands",7,"Delaware,Maryland,New Jersey,New York,Puerto Rico,Rhode Island,Virgin Islands",Birds
Parascalops breweri,Brewer's mole,7,"Connecticut,Georgia,North Carolina,Ohio,South Carolina,Tennessee,Vermont",7,"Connecticut,Georgia,New Jersey,Ohio,South Carolina,Tennessee,Vermont",Mammals
Percina phoxocephala,slenderhead darter,7,"Alabama,Arkansas,Iowa,Kansas,Mississippi,Tennessee,West Virginia",7,"Alabama,Arkansas,Iowa,Kansas,Mississippi,Tennessee,West Virginia",Fish
Petrochelidon pyrrhonota,Cliff Swallow,8,"Alaska,Connecticut,Delaware,New Jersey,Ohio,Rhode Island,Virgin Islands,West Virginia",7,"Connecticut,Delaware,Maine,Massachusetts,New Hampshire,New Jersey,West Virginia",Birds
Peucaea cassinii,Cassin's Sparrow,4,"Colorado,Kansas,Oklahoma,Texas",7,"Arizona,Colorado,Kansas,Nebraska,New Mexico,Oklahoma,Texas",Birds
Plebejus melissa samuelis,Karner blue,8,"Illinois,Indiana,Michigan,Minnesota,New Hampshire,New York,Ohio,Wisconsin",7,"Illinois,Michigan,Minnesota,New Hampshire,New York,Ohio,Wisconsin",Other Invertebrates
Pleurobema plenum,rough pigtoe,5,"Alabama,Indiana,Kentucky,Tennessee,Virginia",7,"Alabama,Indiana,Kentucky,Ohio,Pennsylvania,Tennessee,Virginia",Mollusks
Polites mystic,Long Dash,3,"Maryland,Pennsylvania,Virginia",7,"Iowa,Maryland,Nebraska,New Jersey,Ohio,Pennsylvania,Virginia",Other Invertebrates
Polygonia progne,Gray Comma,5,"Connecticut,Delaware,Maryland,Montana,West Virginia",7,"Arkansas,Delaware,Maryland,Nebraska,New Jersey,Ohio,West Virginia",Other Invertebrates
Psectraglaea carnosa,Pink Sallow,7,"Connecticut,Illinois,Maine,Massachusetts,New York,Pennsylvania,Wisconsin",7,"Connecticut,Maine,Maryland,Massachusetts,New Jersey,New York,Pennsylvania",Other Invertebrates
Pseudemys rubriventris,red-bellied turtle,6,"Delaware,District of Columbia,Maryland,Massachusetts,Pennsylvania,West Virginia",7,"Delaware,District of Columbia,Massachusetts,New Jersey,North Carolina,Pennsylvania,West Virginia",Reptiles
Psiloscops flammeolus,Flammulated Owl,7,"California,Colorado,Idaho,Montana,Oregon,Texas,Washington",7,"Arizona,Colorado,Nevada,New Mexico,Oregon,Utah,Washington",Birds
Pyrgus wyandot,Appalachian grizzled skipper,7,"District of Columbia,Maryland,Michigan,New Jersey,New York,Pennsylvania,West Virginia",7,"Maryland,Michigan,New Jersey,New York,North Carolina,Pennsylvania,Virginia",Other
Rallus longirostris,Clapper Rail,8,"Connecticut,Louisiana,New Jersey,Puerto Rico,Rhode Island,Texas,Virgin Islands,Virginia",7,"Connecticut,Delaware,New Jersey,Puerto Rico,Rhode Island,South Carolina,Virginia",Birds
Recurvirostra americana,American Avocet,13,"Arizona,Arkansas,Florida,Idaho,Iowa,Kansas,Minnesota,Nebraska,Nevada,North Dakota,South Carolina,Texas,Utah",7,"Delaware,Florida,Kansas,Nevada,North Carolina,North Dakota,South Carolina",Birds
Rhinichthys cataractae,longnose dace,11,"Connecticut,Illinois,Indiana,Iowa,Massachusetts,Ohio,Oregon,Rhode Island,South Carolina,Texas,Utah",7,"Connecticut,Illinois,Indiana,Iowa,Maine,Massachusetts,Texas",Fish
Salvelinus namaycush,lake trout,6,"Illinois,Maine,Montana,New Hampshire,Ohio,Vermont",7,"Alaska,Illinois,Maine,Montana,New Hampshire,New York,Vermont",Fish
Sander canadensis,sauger,8,"Illinois,Michigan,Mississippi,Montana,New York,Vermont,Virginia,Wyoming",7,"Michigan,Mississippi,Montana,New York,Vermont,Virginia,Wyoming",Fish
Satyrium caryaevorus,Hickory hairstreak,5,"Iowa,Maryland,Rhode Island,West Virginia,Wisconsin",7,"Iowa,Maryland,Nebraska,New Jersey,Ohio,Rhode Island,West Virginia",Other Invertebrates
Satyrium kingi,King's Hairstreak,4,"Arkansas,Delaware,Maryland,Virginia",7,"Arkansas,Delaware,Florida,Georgia,Louisiana,Maryland,Virginia",Other Invertebrates
Setophaga tigrina,Cape May Warbler,5,"Connecticut,Maine,Minnesota,New York,Virgin Islands",7,"Delaware,Maine,Minnesota,New Hampshire,New Jersey,New York,Puerto Rico",Birds
Somateria mollissima,Common Eider,5,"Delaware,Maine,Massachusetts,New Jersey,New York",7,"Alaska,Delaware,Maine,Massachusetts,New Jersey,New York,Rhode Island",Birds
Somatochlora forcipata,Forcipate Emerald,6,"Massachusetts,New York,Pennsylvania,Vermont,West Virginia,Wisconsin",7,"Massachusetts,Minnesota,New Jersey,Pennsylvania,Vermont,West Virginia,Wisconsin",Other Invertebrates
Somatochlora linearis,Mocha Emerald,7,"District of Columbia,Iowa,Maryland,Massachusetts,New York,Pennsylvania,West Virginia",7,"Delaware,District of Columbia,Maryland,Massachusetts,New York,Pennsylvania,West Virginia",Other Invertebrates
Sphyrna lewini,scalloped hammerhead,4,"Florida,New York,South Carolina,Texas",7,"Delaware,Florida,Georgia,New Jersey,South Carolina,Texas,Virgin Islands",Fish
Sturnella neglecta,Western Meadowlark,6,"Indiana,Michigan,Ohio,Oregon,Texas,Wisconsin",7,"Indiana,Iowa,Michigan,Minnesota,North Dakota,Oregon,Wisconsin",Birds
Sylvilagus aquaticus,Swamp Rabbit,8,"Illinois,Indiana,Kansas,Kentucky,Missouri,Oklahoma,South Carolina,Texas",7,"Indiana,Kansas,Kentucky,Missouri,Oklahoma,South Carolina,Texas",Mammals
Thamnophis saurita saurita,Eastern Ribbon Snake,7,"Delaware,Kentucky,New York,North Carolina,Ohio,Pennsylvania,Virginia",7,"Kentucky,New Jersey,New York,North Carolina,Ohio,Rhode Island,Virginia",Reptiles
Trichechus manatus,West Indian Manatee,8,"Alabama,Georgia,Louisiana,Mississippi,North Carolina,Puerto Rico,South Carolina,Texas",7,"Alabama,Georgia,Louisiana,Mississippi,North Carolina,Puerto Rico,Texas",Mammals
Triphora trianthophoros,threebirds,3,"Georgia,Nebraska,Vermont",7,"Connecticut,Georgia,Louisiana,Massachusetts,South Carolina,Vermont,West Virginia",Plants
Tropidoclonion lineatum,Lined Snake,3,"Illinois,Minnesota,South Dakota",7,"Arkansas,Illinois,Iowa,Minnesota,Missouri,South Dakota,Wisconsin",Reptiles
Villosa lienosa,little spectacle case,8,"Arkansas,Illinois,Indiana,Kentucky,Ohio,Oklahoma,Tennessee,West Virginia",7,"Illinois,Indiana,Kentucky,Ohio,Oklahoma,Tennessee,West Virginia",Mollusks
Zanclognatha martha,Pine Barrens Zanclognatha,9,"Connecticut,Maine,Maryland,Massachusetts,New Hampshire,New York,Pennsylvania,Rhode Island,Vermont",7,"Connecticut,Maine,Maryland,Massachusetts,Pennsylvania,Rhode Island,Vermont",Other Invertebrates
Acantharchus pomotis,mud sunfish,6,"Delaware,Florida,Maryland,New York,South Carolina,Virginia",6,"Alabama,Delaware,Florida,Maryland,New Jersey,Virginia",Fish
Aechmophorus clarkii,Clark's Grebe,6,"Arizona,Idaho,Montana,Nebraska,Nevada,Wyoming",6,"Arizona,Idaho,Nebraska,New Mexico,Washington,Wyoming",Birds
Aechmophorus occidentalis,Western Grebe,9,"Arizona,Colorado,Idaho,Kansas,Minnesota,Nebraska,Nevada,Washington,Wyoming",6,"Arizona,Idaho,Kansas,Minnesota,Nebraska,Washington",Birds
Aegolius funereus,Boreal Owl,7,"Alaska,Colorado,Idaho,Minnesota,New Mexico,Utah,Wyoming",6,"Alaska,Colorado,Minnesota,New Mexico,Utah,Wyoming",Birds
Aeshna canadensis,Canada Darner,5,"Iowa,Maryland,Ohio,Virginia,West Virginia",6,"Illinois,Iowa,Maryland,Ohio,Virginia,West Virginia",Other Invertebrates
Agastache scrophulariifolia,purple giant hyssop,4,"Georgia,Missouri,Nebraska,Vermont",6,"Georgia,Massachusetts,Missouri,Nebraska,Tennessee,Vermont",Plants
Aix sponsa,Wood Duck,5,"Arizona,District of Columbia,New Jersey,Ohio,South Carolina",6,"Arizona,District of Columbia,New Jersey,Ohio,Rhode Island,South Carolina",Birds
Amblyscirtes hegon,Pepper and Salt Skipper,4,"Indiana,Iowa,Louisiana,Maryland",6,"Florida,Iowa,Louisiana,Maryland,New Jersey,Ohio",Other Invertebrates
Amblyscirtes linda,Linda's Roadside-Skipper,5,"Arkansas,Illinois,Kansas,Oklahoma,Tennessee",6,"Arkansas,Illinois,Kansas,Missouri,Oklahoma,Tennessee",Other Invertebrates
Amphinaias pustulosa,pimpleback,5,"Kansas,Michigan,Nebraska,New York,Virginia",6,"Iowa,Nebraska,Pennsylvania,South Dakota,Virginia,West Virginia",Mollusks
Anas fulvigula,Mottled Duck,4,"Louisiana,Mississippi,South Carolina,Texas",6,"Alabama,Florida,Louisiana,Mississippi,South Carolina,Texas",Birds
Arcidens confragosus,rock pocketbook,10,"Arkansas,Illinois,Iowa,Kansas,Minnesota,Mississippi,Missouri,South Dakota,Texas,Wisconsin",6,"Iowa,Kansas,Minnesota,Mississippi,South Dakota,Wisconsin",Mollusks
Argia bipunctulata,Seepage Dancer,5,"Delaware,Maryland,New York,Ohio,Pennsylvania",6,"Delaware,Maryland,Ohio,Oklahoma,Pennsylvania,West Virginia",Other Invertebrates
Asclepias purpurascens,purple milkweed,2,"Georgia,Nebraska",6,"Connecticut,Georgia,Louisiana,Massachusetts,Nebraska,Tennessee",Plants
Atrytone arogos,Arogos Skipper,7,"Colorado,Illinois,Iowa,Kansas,Louisiana,Minnesota,Nebraska",6,"Colorado,Iowa,Kansas,Louisiana,Nebraska,South Carolina",Other Invertebrates
Baeolophus ridgwayi,Juniper Titmouse,6,"Colorado,Idaho,New Mexico,Oklahoma,Oregon,Wyoming",6,"Arizona,Colorado,New Mexico,Oklahoma,Oregon,Wyoming",Birds
Bombus occidentalis,Western bumblebee,2,"Alaska,California",6,"California,Colorado,Idaho,Nebraska,Oregon,Washington",Other Invertebrates
Brevoortia tyrannus,menhaden,4,"Connecticut,New York,Rhode Island,South Carolina",6,"Connecticut,Delaware,New Jersey,New York,Rhode Island,South Carolina",Fish
Calephelis muticum,Swamp metalmark,7,"Arkansas,Illinois,Indiana,Michigan,Missouri,Ohio,Wisconsin",6,"Arkansas,Illinois,Michigan,Missouri,Ohio,Wisconsin",Other Invertebrates
Callinectes sapidus,blue crab,7,"Connecticut,Delaware,Florida,New York,Rhode Island,South Carolina,Texas",6,"Connecticut,Delaware,Georgia,New York,Rhode Island,South Carolina",Other Invertebrates
Callophrys gryneus,Juniper Hairstreak,4,"Delaware,Maine,Pennsylvania,Rhode Island",6,"Delaware,Florida,Maine,Pennsylvania,Rhode Island,Washington",Other Invertebrates
Carcharhinus plumbeus,sandbar shark,5,"Connecticut,Florida,New York,South Carolina,Texas",6,"Connecticut,Delaware,Florida,New Jersey,New York,Texas",Fish
Carcharodon carcharias,great white shark,5,"Delaware,Florida,Hawaii,New York,Texas",6,"California,Delaware,Florida,Hawaii,New York,Texas",Fish
Celithemis fasciata,Banded Pennant,3,"Delaware,Pennsylvania,West Virginia",6,"Connecticut,Delaware,Maryland,Pennsylvania,Vermont,West Virginia",Other Invertebrates
Chelydra serpentina,Snapping Turtle,6,"Minnesota,Montana,New York,North Dakota,Ohio,South Carolina",6,"Iowa,New York,North Dakota,South Carolina,Texas,Virginia",Reptiles
Cicindela purpurea,Cow Path Tiger Beetle,8,"Arkansas,Connecticut,Delaware,Maryland,Massachusetts,Rhode Island,West Virginia,Wisconsin",6,"Arkansas,Connecticut,Delaware,Maryland,Massachusetts,West Virginia",Other Invertebrates
Coluber constrictor,Racer,8,"Connecticut,District of Columbia,Massachusetts,Minnesota,New York,Vermont,Washington,Wisconsin",6,"Connecticut,Delaware,Massachusetts,Minnesota,Vermont,Wisconsin",Reptiles
Cryptobranchus alleganiensis alleganiensis,Eastern Hellbender,3,"Kentucky,Missouri,North Carolina",6,"Alabama,Kentucky,Missouri,North Carolina,Pennsylvania,Virginia",Amphibians
Cyprogenia aberti,western fanshell,6,"Arkansas,Kansas,Louisiana,Mississippi,Missouri,Oklahoma",6,"Arkansas,Kansas,Louisiana,Mississippi,Missouri,Oklahoma",Mollusks
Desmognathus auriculatus,Southern Dusky Salamander,6,"Alabama,Florida,Georgia,Louisiana,North Carolina,South Carolina",6,"Alabama,Florida,Georgia,Louisiana,North Carolina,Texas",Amphibians
Dryobius sexnotatus,maple dryobius,6,"Arkansas,Indiana,Maryland,Michigan,Pennsylvania,Virginia",6,"Arkansas,Louisiana,Maryland,Michigan,Pennsylvania,Virginia",Other Invertebrates
Egretta rufescens,Reddish Egret,6,"Alabama,Florida,Louisiana,Mississippi,Puerto Rico,Texas",6,"Alabama,Florida,Louisiana,Mississippi,South Carolina,Texas",Birds
Ellipsoptera marginata,Margined Tiger Beetle,3,"Connecticut,Delaware,Rhode Island",6,"Connecticut,Delaware,Maine,New Hampshire,New Jersey,Rhode Island",Other Invertebrates
Elliptio fisheriana,northern lance,6,"Delaware,Maryland,Pennsylvania,South Carolina,Virginia,West Virginia",6,"Delaware,Maryland,Pennsylvania,South Carolina,Virginia,West Virginia",Mollusks
Empidonax alnorum,Alder Flycatcher,7,"Connecticut,Maryland,Montana,North Carolina,Ohio,Tennessee,West Virginia",6,"Alaska,Connecticut,Maryland,North Carolina,Tennessee,West Virginia",Birds
Empidonax traillii extimus,Southwestern willow flycatcher,6,"Arizona,California,Colorado,Nevada,New Mexico,Utah",6,"Arizona,California,Colorado,Nevada,New Mexico,Utah",Birds
Enallagma doubledayi,Atlantic Bluet,3,"Connecticut,Maryland,Pennsylvania",6,"Connecticut,Maryland,New Jersey,New York,Ohio,Pennsylvania",Other Invertebrates
Enallagma pictum,Scarlet Bluet,6,"Connecticut,Maine,Massachusetts,New Jersey,New York,Rhode Island",6,"Connecticut,Maine,Massachusetts,New Jersey,New York,Rhode Island",Other Invertebrates
Enallagma recurvatum,Pine Barrens Bluet,4,"Massachusetts,New Jersey,New York,Rhode Island",6,"Connecticut,Massachusetts,New Hampshire,New Jersey,New York,Rhode Island",Other Invertebrates
Epioblasma obliquata,purple cat's paw pearly mussel,6,"Alabama,Indiana,Kentucky,Michigan,Ohio,Tennessee",6,"Alabama,Indiana,Kentucky,Michigan,Ohio,Tennessee",Mollusks
Erynnis brizo,Sleepy Duskywing,4,"Connecticut,Iowa,Maine,Rhode Island",6,"Connecticut,Iowa,Maine,Nebraska,New Jersey,Rhode Island",Other Invertebrates
Erynnis lucilius,Columbine Duskywing,7,"Connecticut,Illinois,Iowa,Pennsylvania,Rhode Island,West Virginia,Wisconsin",6,"Connecticut,Iowa,New Jersey,Pennsylvania,West Virginia,Wisconsin",Other Invertebrates
Etheostoma parvipinne,goldstripe darter,6,"Arkansas,Florida,Georgia,Kentucky,Missouri,Oklahoma",6,"Arkansas,Florida,Georgia,Kentucky,Missouri,Oklahoma",Fish
Euchloe olympia,Olympia Marble,7,"Illinois,Indiana,Iowa,Maryland,New York,Pennsylvania,West Virginia",6,"Illinois,Iowa,Maryland,Ohio,Pennsylvania,West Virginia",Other Invertebrates
Exoglossum maxillingua,cutlips minnow,3,"Connecticut,New Jersey,North Carolina",6,"Connecticut,Delaware,New Jersey,North Carolina,Pennsylvania,West Virginia",Fish
Falco columbarius,Merlin,9,"Alaska,California,Florida,Idaho,Michigan,Nebraska,Texas,Virgin Islands,Wyoming",6,"Delaware,Florida,Michigan,Nebraska,North Carolina,Wyoming",Birds
Falco mexicanus,Prairie Falcon,7,"California,Colorado,Nebraska,North Dakota,Oklahoma,Texas,Washington",6,"Arizona,Colorado,Nebraska,Nevada,North Dakota,Oklahoma",Birds
Falco sparverius paulus,American Kestrel,4,"Florida,Georgia,Mississippi,South Carolina",6,"Alabama,Florida,Georgia,Louisiana,Mississippi,South Carolina",Birds
Feniseca tarquinius,Harvester,4,"Delaware,Louisiana,Pennsylvania,Rhode Island",6,"Delaware,Florida,Iowa,Nebraska,New Jersey,Pennsylvania",Other Invertebrates
Fundulus heteroclitus,mummichog,3,"Connecticut,New York,South Carolina",6,"Connecticut,Delaware,New Jersey,New York,Rhode Island,South Carolina",Fish
Fundulus luciae,spotfin killifish,5,"Connecticut,Maryland,New York,Rhode Island,South Carolina",6,"Delaware,Maryland,Massachusetts,New Jersey,New York,Rhode Island",Fish
Gastrophryne olivacea,Great Plains Narrow-mouthed Toad,5,"Arizona,Arkansas,Colorado,Nebraska,New Mexico",6,"Arizona,Arkansas,Colorado,Missouri,Nebraska,New Mexico",Amphibians
Glaucomys volans,Southern Flying Squirrel,6,"District of Columbia,Iowa,Kansas,Nebraska,Ohio,Vermont",6,"District of Columbia,Iowa,Kansas,Nebraska,Ohio,Vermont",Mammals
Gomphus descriptus,Harpoon Clubtail,6,"Connecticut,Maryland,Massachusetts,Pennsylvania,Virginia,West Virginia",6,"Connecticut,Maryland,Massachusetts,New Jersey,Virginia,West Virginia",Other Invertebrates
Gopherus polyphemus,Gopher Tortoise,6,"Alabama,Florida,Georgia,Louisiana,Mississippi,South Carolina",6,"Alabama,Florida,Georgia,Louisiana,Mississippi,South Carolina",Reptiles
Grus canadensis,Sandhill Crane,14,"Idaho,Illinois,Indiana,Iowa,Kentucky,Louisiana,Maine,Missouri,Nebraska,New Mexico,Ohio,Oklahoma,Washington,Wyoming",6,"Idaho,Illinois,Indiana,Kentucky,Nebraska,Ohio",Birds
Grus canadensis tabida,Greater Sandhill Crane,4,"California,Colorado,Nevada,Oregon",6,"California,Colorado,Florida,Nevada,Washington,Wyoming",Birds
Gryllotalpa major,Prairie mole cricket,5,"Arkansas,Illinois,Kansas,Missouri,Oklahoma",6,"Arkansas,Illinois,Kansas,Mississippi,Missouri,Oklahoma",Other Invertebrates
Habroscelimorpha dorsalis dorsalis,Eastern Beach Tiger Beetle,5,"Connecticut,Maryland,Massachusetts,New York,Virginia",6,"Connecticut,Maryland,Massachusetts,New Jersey,Rhode Island,Virginia",Other Invertebrates
Haldea valeriae valeriae,Eastern Earth Snake,4,"North Carolina,Ohio,Pennsylvania,West Virginia",6,"Florida,New Jersey,North Carolina,Ohio,Pennsylvania,West Virginia",Reptiles
Hendersonia occulta,cherrystone drop,7,"Maryland,Michigan,Missouri,Pennsylvania,Virginia,West Virginia,Wisconsin",6,"Maryland,Michigan,Pennsylvania,Virginia,West Virginia,Wisconsin",Mollusks
Hesperiphona vespertina,Evening Grosbeak,3,"Arizona,Colorado,Michigan",6,"Arizona,Maine,Minnesota,New Mexico,North Carolina,Wisconsin",Birds
Heterodon simus,Southern Hog-nosed Snake,6,"Alabama,Florida,Georgia,Mississippi,North Carolina,South Carolina",6,"Alabama,Florida,Georgia,Mississippi,North Carolina,South Carolina",Reptiles
Hyla chrysoscelis,Cope's Gray Treefrog,4,"Delaware,New Jersey,Ohio,South Dakota",6,"Delaware,District of Columbia,Iowa,New Jersey,Pennsylvania,South Dakota",Amphibians
Hyla versicolor,Gray Treefrog,5,"Connecticut,Kentucky,North Carolina,Ohio,Tennessee",6,"Connecticut,District of Columbia,Iowa,Kentucky,North Carolina,Tennessee",Amphibians
Ichthyomyzon bdellium,Ohio lamprey,6,"Georgia,New York,Ohio,Pennsylvania,Virginia,West Virginia",6,"Georgia,New York,Ohio,Pennsylvania,Virginia,West Virginia",Fish
Ichthyomyzon greeleyi,mountain brook lamprey,7,"Kentucky,New York,North Carolina,Ohio,Pennsylvania,Virginia,West Virginia",6,"Kentucky,New York,Ohio,Pennsylvania,Virginia,West Virginia",Fish
Isotria medeoloides,green fiveleaf orchid,2,"Georgia,Missouri",6,"Connecticut,Georgia,Massachusetts,South Carolina,Tennessee,West Virginia",Plants
Lampropeltis triangulum,Eastern Milk Snake,8,"Delaware,Kansas,Minnesota,Mississippi,Montana,New Mexico,South Carolina,Utah",6,"Arizona,Colorado,Delaware,Mississippi,North Carolina,South Carolina",Reptiles
Lepus townsendii,white-tailed jack rabbit,9,"California,Colorado,Iowa,Kansas,Missouri,Nebraska,Oregon,Washington,Wisconsin",6,"Colorado,Iowa,Minnesota,Nebraska,Oregon,Washington",Mammals
