Scientific_Name,Common_Name,#_of_States_2005,States_2005,#_of_States_2015,States_2015,Taxonomic_Group,matches_biotics
Lanius ludovicianus,Loggerhead Shrike,32,"California,Colorado,Delaware,Florida,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Minnesota,Mississippi,Missouri,Montana,Nevada,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,South Carolina,Tennessee,Texas,Virginia,Washington,Wisconsin",34,"Alabama,Arkansas,California,Colorado,Delaware,Florida,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maryland,Minnesota,Mississippi,Missouri,Nebraska,Nevada,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,South Carolina,Tennessee,Texas,Virginia,Washington,West Virginia,Wisconsin",Birds,TRUE
Anguilla rostrata,American eel,20,"Connecticut,District of Columbia,Florida,Illinois,Iowa,Kansas,Maine,Massachusetts,Minnesota,New Hampshire,New York,Ohio,Puerto Rico,Rhode Island,South Carolina,Texas,Vermont,Virginia,West Virginia,Wisconsin",31,"Arkansas,Connecticut,Delaware,District of Columbia,Florida,Illinois,Indiana,Iowa,Kansas,Louisiana,Maine,Massachusetts,Minnesota,Missouri,Nebraska,New Hampshire,New Jersey,New York,Ohio,Oklahoma,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,Tennessee,Texas,Vermont,Virgin Islands,Virginia,West Virginia,Wisconsin",Fish,TRUE
Bartramia longicauda,Upland Sandpiper,34,"Alaska,Arkansas,Colorado,Connecticut,Delaware,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Maine,Maryland,Massachusetts,Michigan,Minnesota,New Hampshire,New Jersey,New York,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming",31,"Alaska,Colorado,Connecticut,Delaware,Florida,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Minnesota,Missouri,New Hampshire,New Jersey,New York,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,South Carolina,Tennessee,Vermont,Washington,West Virginia,Wisconsin,Wyoming",Birds,TRUE
Antrostomus vociferus,Eastern Whip-poor-will,26,"Arkansas,Connecticut,Delaware,Illinois,Indiana,Iowa,Kansas,Kentucky,Maine,Maryland,Massachusetts,Michigan,Minnesota,Nebraska,New Hampshire,New Jersey,New York,North Carolina,Ohio,Oklahoma,Rhode Island,Tennessee,Vermont,Virginia,West Virginia,Wisconsin",30,"Arkansas,Connecticut,Delaware,District of Columbia,Florida,Illinois,Indiana,Iowa,Kansas,Kentucky,Maine,Maryland,Massachusetts,Michigan,Minnesota,Missouri,Nebraska,New Hampshire,New Jersey,New York,Ohio,Oklahoma,Pennsylvania,Rhode Island,South Carolina,Tennessee,Vermont,Virginia,West Virginia,Wisconsin",Birds,TRUE
Perimyotis subflavus,Eastern pipistrelle,10,"Connecticut,Florida,Indiana,Michigan,Minnesota,Nebraska,New Hampshire,Ohio,Rhode Island,Vermont",30,"Alabama,Connecticut,Delaware,District of Columbia,Florida,Georgia,Indiana,Iowa,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Nebraska,New Hampshire,New Jersey,New York,North Carolina,Ohio,Oklahoma,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin",Mammals,TRUE
Rallus elegans,King Rail,29,"Arkansas,Connecticut,Delaware,Georgia,Illinois,Indiana,Iowa,Kentucky,Louisiana,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nebraska,New Jersey,New York,North Carolina,Ohio,Oklahoma,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,Virginia,West Virginia,Wisconsin",30,"Alabama,Arkansas,Connecticut,Delaware,Florida,Georgia,Illinois,Indiana,Iowa,Kentucky,Louisiana,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nebraska,New Jersey,New York,North Carolina,Ohio,Oklahoma,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,Virginia,Wisconsin",Birds,TRUE
Scolopax minor,American Woodcock,30,"Alabama,Arkansas,Connecticut,Delaware,District of Columbia,Illinois,Iowa,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Nebraska,New Hampshire,New Jersey,New York,North Carolina,Ohio,Oklahoma,Rhode Island,South Carolina,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin",30,"Arkansas,Connecticut,Delaware,District of Columbia,Florida,Illinois,Indiana,Iowa,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Minnesota,Mississippi,Nebraska,New Hampshire,New Jersey,New York,Ohio,Oklahoma,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin",Birds,TRUE
Ammodramus henslowii,Henslow's Sparrow,30,"Alabama,Arkansas,Delaware,Florida,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Nebraska,New Jersey,New York,North Carolina,Ohio,Oklahoma,Pennsylvania,South Carolina,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin",29,"Alabama,Arkansas,Delaware,Florida,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maryland,Michigan,Minnesota,Mississippi,Missouri,Nebraska,New Jersey,New York,North Carolina,Ohio,Oklahoma,Pennsylvania,South Carolina,Tennessee,Texas,Virginia,West Virginia,Wisconsin",Birds,TRUE
Dolichonyx oryzivorus,Bobolink,27,"Colorado,Connecticut,Delaware,District of Columbia,Illinois,Iowa,Kansas,Kentucky,Maine,Maryland,Michigan,Minnesota,Montana,Nevada,New Jersey,New York,North Carolina,North Dakota,Ohio,Oregon,Puerto Rico,Rhode Island,Utah,Vermont,West Virginia,Wisconsin,Wyoming",29,"Colorado,Connecticut,Delaware,District of Columbia,Florida,Idaho,Illinois,Iowa,Kansas,Kentucky,Maine,Maryland,Massachusetts,Minnesota,Missouri,Nevada,New Hampshire,New Jersey,New York,North Carolina,North Dakota,Ohio,Oregon,Pennsylvania,Rhode Island,Vermont,West Virginia,Wisconsin,Wyoming",Birds,TRUE
Euphagus carolinus,Rusty Blackbird,18,"Alaska,Arkansas,Illinois,Iowa,Kansas,Kentucky,Louisiana,Maine,Minnesota,Mississippi,New Hampshire,New York,Oklahoma,South Carolina,Texas,Vermont,Virginia,Wisconsin",29,"Alabama,Arkansas,Delaware,District of Columbia,Florida,Georgia,Illinois,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Mississippi,Missouri,New Hampshire,New Jersey,New York,North Carolina,Oklahoma,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin",Birds,TRUE
Hylocichla mustelina,Wood Thrush,30,"Alabama,Arkansas,Connecticut,Delaware,District of Columbia,Florida,Illinois,Iowa,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,New Jersey,New York,North Carolina,Ohio,Oklahoma,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin",29,"Arkansas,Connecticut,Delaware,District of Columbia,Florida,Illinois,Iowa,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Minnesota,Mississippi,Missouri,Nebraska,New Hampshire,New Jersey,New York,Ohio,Oklahoma,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,Vermont,Virginia,West Virginia",Birds,TRUE
Lasionycteris noctivagans,silver-haired bat,23,"Alaska,California,Connecticut,Delaware,Indiana,Louisiana,Maryland,Massachusetts,Michigan,Mississippi,Missouri,New Hampshire,New Jersey,New York,North Carolina,Ohio,Oregon,Pennsylvania,Rhode Island,Vermont,West Virginia,Wisconsin,Wyoming",29,"Alaska,Connecticut,Delaware,District of Columbia,Idaho,Indiana,Iowa,Louisiana,Maine,Maryland,Massachusetts,Minnesota,Mississippi,Missouri,Nevada,New Hampshire,New Jersey,New York,Ohio,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Vermont,Virginia,Washington,West Virginia,Wisconsin",Mammals,TRUE
Nycticorax nycticorax,Black-crowned Night Heron,32,"Arkansas,California,Connecticut,Delaware,District of Columbia,Florida,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,New Jersey,New York,Ohio,Pennsylvania,Rhode Island,South Carolina,Vermont,Virgin Islands,Virginia,West Virginia,Wyoming",29,"Arkansas,Delaware,District of Columbia,Florida,Illinois,Indiana,Iowa,Kentucky,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nebraska,New Jersey,New York,North Carolina,Ohio,Pennsylvania,Rhode Island,South Carolina,Tennessee,Vermont,Virgin Islands,Virginia,Wisconsin,Wyoming",Birds,TRUE
Circus cyaneus,Northern Harrier,34,"Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Illinois,Indiana,Iowa,Kentucky,Louisiana,Maryland,Massachusetts,Michigan,Minnesota,Missouri,Nebraska,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Pennsylvania,Rhode Island,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin",28,"Alaska,California,Colorado,Connecticut,Delaware,Illinois,Indiana,Iowa,Kentucky,Maine,Maryland,Massachusetts,Michigan,Minnesota,Missouri,New Hampshire,New Jersey,New York,North Carolina,North Dakota,Ohio,Pennsylvania,Rhode Island,Tennessee,Texas,Vermont,Virginia,West Virginia",Birds,TRUE
Crotalus horridus,Timber Rattlesnake,26,"Connecticut,District of Columbia,Florida,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Minnesota,Nebraska,New Hampshire,New York,North Carolina,Ohio,Pennsylvania,South Carolina,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin",28,"Connecticut,District of Columbia,Florida,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maryland,Massachusetts,Minnesota,Missouri,Nebraska,New Hampshire,New Jersey,New York,North Carolina,Ohio,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin",Reptiles,TRUE
Chordeiles minor,Common Nighthawk,20,"Connecticut,Delaware,Illinois,Indiana,Iowa,Kansas,Maine,Maryland,Michigan,Minnesota,New Hampshire,New Jersey,New York,North Carolina,Ohio,Oregon,Rhode Island,Texas,Vermont,West Virginia",27,"Arizona,Arkansas,Connecticut,Delaware,District of Columbia,Florida,Idaho,Illinois,Indiana,Iowa,Kansas,Maine,Maryland,Massachusetts,Michigan,Minnesota,Nevada,New Hampshire,New Jersey,New Mexico,New York,Oregon,Pennsylvania,Tennessee,Vermont,West Virginia,Wisconsin",Birds,TRUE
Colinus virginianus,Northern Bobwhite,28,"Arkansas,Connecticut,Delaware,District of Columbia,Florida,Georgia,Illinois,Iowa,Kansas,Kentucky,Louisiana,Maryland,Massachusetts,Michigan,Mississippi,Nebraska,New Jersey,New York,North Carolina,Ohio,Oklahoma,Pennsylvania,Rhode Island,South Carolina,Texas,Virginia,West Virginia,Wisconsin",27,"Arkansas,Colorado,Delaware,District of Columbia,Florida,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maryland,Massachusetts,Mississippi,Missouri,New Jersey,New York,North Carolina,Ohio,Oklahoma,South Carolina,Tennessee,Texas,Virginia,West Virginia,Wisconsin",Birds,TRUE
Danaus plexippus,monarch butterfly,2,"California,Kansas",27,"Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Georgia,Idaho,Illinois,Iowa,Kansas,Louisiana,Maine,Maryland,Michigan,Minnesota,Missouri,New Hampshire,New Jersey,North Carolina,North Dakota,Ohio,Oregon,Pennsylvania,Rhode Island,Vermont,Washington",Other Invertebrates,TRUE
Melanerpes erythrocephalus,Red-headed Woodpecker,24,"Arkansas,Connecticut,Delaware,Florida,Illinois,Iowa,Kansas,Kentucky,Maryland,Michigan,Minnesota,Mississippi,Montana,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Tennessee,Texas,West Virginia,Wisconsin",27,"Connecticut,Delaware,District of Columbia,Florida,Illinois,Iowa,Kansas,Kentucky,Louisiana,Maryland,Michigan,Minnesota,Mississippi,Missouri,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Pennsylvania,South Carolina,Tennessee,Texas,West Virginia,Wisconsin",Birds,TRUE
Vermivora chrysoptera,Golden-winged Warbler,22,"Connecticut,Delaware,Georgia,Indiana,Iowa,Kentucky,Maryland,Massachusetts,Michigan,Minnesota,New Hampshire,New Jersey,New York,North Carolina,Ohio,Pennsylvania,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin",27,"Connecticut,Delaware,District of Columbia,Florida,Georgia,Illinois,Indiana,Iowa,Kentucky,Louisiana,Maryland,Massachusetts,Michigan,Minnesota,New Hampshire,New Jersey,New York,North Carolina,Oklahoma,Pennsylvania,Puerto Rico,South Carolina,Tennessee,Vermont,Virginia,West Virginia,Wisconsin",Birds,TRUE
Protonotaria citrea,Prothonotary Warbler,26,"Arkansas,Delaware,District of Columbia,Florida,Illinois,Iowa,Kansas,Kentucky,Louisiana,Maryland,Michigan,Minnesota,Mississippi,Nebraska,New Jersey,New York,Ohio,Oklahoma,Pennsylvania,Rhode Island,Tennessee,Texas,Virgin Islands,Virginia,West Virginia,Wisconsin",26,"Delaware,District of Columbia,Florida,Georgia,Illinois,Iowa,Kansas,Kentucky,Maryland,Michigan,Minnesota,Mississippi,Missouri,Nebraska,New Jersey,New York,North Carolina,Ohio,Oklahoma,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,West Virginia,Wisconsin",Birds,TRUE
Sturnella magna,Eastern Meadowlark,22,"Connecticut,District of Columbia,Florida,Iowa,Kansas,Maine,Maryland,Massachusetts,Michigan,Minnesota,Nebraska,New Hampshire,New Jersey,New York,North Carolina,Ohio,Rhode Island,South Carolina,Texas,Vermont,Virginia,Wisconsin",26,"Arizona,Connecticut,Delaware,District of Columbia,Illinois,Iowa,Kansas,Louisiana,Maine,Maryland,Massachusetts,Minnesota,Missouri,New Hampshire,New Jersey,New York,Ohio,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin",Birds,TRUE
Tyto alba,Common Barn-Owl,28,"Arkansas,Connecticut,Delaware,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Maryland,Massachusetts,Michigan,Mississippi,Missouri,Nebraska,New Jersey,New York,North Carolina,Ohio,Oklahoma,Rhode Island,South Carolina,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin",26,"Connecticut,Delaware,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Maine,Maryland,Massachusetts,Michigan,Mississippi,Missouri,Nebraska,New Jersey,New York,North Carolina,Ohio,Oklahoma,Pennsylvania,Rhode Island,South Carolina,Tennessee,Virginia,West Virginia",Birds,TRUE
Chelonia mydas,Green Sea Turtle,22,"Alabama,Alaska,American Samoa,Connecticut,Delaware,Florida,Georgia,Guam,Hawaii,Louisiana,Maryland,Massachusetts,Mississippi,New Jersey,New York,North Carolina,Northern Mariana Islands,Puerto Rico,Rhode Island,South Carolina,Texas,Virgin Islands",25,"Alabama,American Samoa,California,Connecticut,Delaware,Florida,Georgia,Guam,Hawaii,Louisiana,Maine,Maryland,Massachusetts,Mississippi,New Jersey,New York,North Carolina,Northern Mariana Islands,Puerto Rico,Rhode Island,South Carolina,Texas,Virgin Islands,Virginia,Washington",Reptiles,TRUE
Chlidonias niger,Black Tern,25,"California,Delaware,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Maine,Maryland,Michigan,Minnesota,Missouri,Montana,Nebraska,Nevada,New Jersey,New York,North Dakota,Ohio,Pennsylvania,South Dakota,Vermont,Wisconsin,Wyoming",25,"California,Colorado,Delaware,Florida,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Maine,Michigan,Minnesota,Nebraska,Nevada,New Jersey,New York,North Dakota,Ohio,Pennsylvania,South Dakota,Texas,Vermont,Wisconsin,Wyoming",Birds,TRUE
Myotis leibii,small-footed myotis,22,"Arkansas,Connecticut,Delaware,District of Columbia,Georgia,Kentucky,Maine,Maryland,Massachusetts,Missouri,New Hampshire,New Jersey,New York,North Carolina,Oklahoma,Pennsylvania,Rhode Island,South Carolina,Tennessee,Vermont,Virginia,West Virginia",25,"Alabama,Arkansas,Connecticut,Delaware,District of Columbia,Georgia,Illinois,Indiana,Kentucky,Maine,Maryland,Massachusetts,Missouri,New Hampshire,New Jersey,New York,North Carolina,Oklahoma,Pennsylvania,Rhode Island,South Carolina,Tennessee,Vermont,Virginia,West Virginia",Mammals,TRUE
Parkesia motacilla,Louisiana Waterthrush,29,"Connecticut,Delaware,District of Columbia,Florida,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Nebraska,New Jersey,New York,Ohio,Oklahoma,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,Tennessee,Texas,Virgin Islands,Virginia,West Virginia,Wisconsin",25,"Connecticut,Delaware,District of Columbia,Florida,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nebraska,New Jersey,New York,North Carolina,Ohio,Oklahoma,Pennsylvania,Puerto Rico,South Carolina,Tennessee,Texas,West Virginia",Birds,TRUE
Setophaga discolor,Prairie Warbler,25,"Arkansas,Connecticut,Delaware,Illinois,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Mississippi,New Jersey,New York,North Carolina,Ohio,Oklahoma,Puerto Rico,Rhode Island,South Carolina,Tennessee,Texas,Vermont,Virgin Islands,Virginia,West Virginia",25,"Connecticut,Delaware,District of Columbia,Illinois,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Mississippi,Missouri,New Hampshire,New Jersey,New York,North Carolina,Ohio,Oklahoma,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,Tennessee,Vermont,West Virginia",Birds,TRUE
Sternula antillarum,Least Tern,26,"Colorado,Connecticut,Delaware,Florida,Georgia,Illinois,Indiana,Iowa,Kansas,Maine,Maryland,Massachusetts,Mississippi,Montana,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Puerto Rico,Rhode Island,South Carolina,Texas,Virgin Islands,Virginia",25,"Colorado,Connecticut,Delaware,Florida,Georgia,Illinois,Iowa,Kansas,Louisiana,Maine,Maryland,Massachusetts,Mississippi,Montana,New Hampshire,New Jersey,New Mexico,New York,North Carolina,Puerto Rico,Rhode Island,South Carolina,Texas,Virgin Islands,Virginia",Birds,TRUE
